Player,Tm,No.,Nationality,Age,Ht,Wt,R/L,Experience,Birth Date,Stats,Draft,playerID
Zach Benson,BUF,6,CA,20,10-May,177,L/-,2,May 12 2005,7 G 19 A 26 P,2023 BUF 1st (13),bensoza01
Jacob Bryson,BUF,78,CA,28,9-May,177,L/-,5,November 18 1997,2 G 3 A 5 P,2017 BUF 4th (99),brysoja01
Bowen Byram,BUF,4,CA,24,1-Jun,205,L/-,5,June 13 2001,10 G 18 A 28 P,2019 COL 1st (4),byrambo01
Rasmus Dahlin (C),BUF,26,SE,25,3-Jun,204,L/-,7,April 13 2000,11 G 37 A 48 P,2018 BUF 1st (1),dahlira01
Justin Danforth,BUF,15,CA,32,8-May,193,R/-,4,March 15 1993,0 G 0 A 0 P,Undrafted,danfoju01
Josh Doan,BUF,91,US,23,2-Jun,198,R/-,2,February 1 2002,18 G 21 A 39 P,2021 ARI 2nd (37),doanjo01
Josh Dunne,BUF,44,US,27,4-Jun,208,L/-,3,December 8 1998,1 G 3 A 4 P,Undrafted,dunnejo01
Colten Ellis,BUF,92,CA,25,1-Jun,191,-/L,Rookie,October 5 2000,7-4-1 3.11 GAA,2019 STL 3rd (93),ellisco01
Jordan Greenway,BUF,12,US,28,6-Jun,231,L/-,8,February 16 1997,1 G 4 A 5 P,2015 MIN 2nd (50),greenjo02
Michael Kesselring,BUF,8,US,26,5-Jun,215,R/-,3,January 13 2000,0 G 1 A 1 P,2018 EDM 6th (164),kessemi01
Tyson Kozak,BUF,48,CA,23,11-May,185,L/-,1,December 29 2002,2 G 2 A 4 P,2021 BUF 7th (193),kozakty01
Peyton Krebs,BUF,19,CA,25,Jun-00,188,L/-,5,January 26 2001,7 G 18 A 25 P,2019 VEG 1st (17),krebspe01
Jiri Kulich,BUF,20,CZ,21,1-Jun,193,L/-,2,April 14 2004,3 G 2 A 5 P,2022 BUF 1st (28),kulicji01
Ukko-Pekka Luukkonen,BUF,1,FI,26,5-Jun,223,-/L,5,March 9 1999,11-7-2 2.73 GAA,2017 BUF 2nd (54),luukkuk01
Alex Lyon,BUF,34,US,33,1-Jun,199,-/L,8,December 9 1992,14-8-3 2.72 GAA,Undrafted,lyonal01
Beck Malenstyn,BUF,29,CA,27,3-Jun,209,L/-,5,February 4 1998,4 G 4 A 8 P,2016 WSH 5th (145),malenbe01
Ryan McLeod,BUF,71,CA,26,3-Jun,204,L/-,5,September 21 1999,11 G 30 A 41 P,2018 EDM 2nd (40),mcleory01
Josh Norris,BUF,9,US,26,2-Jun,196,L/-,6,May 5 1999,6 G 11 A 17 P,2017 SJS 1st (19),norrijo01
Noah Ostlund,BUF,86,SE,21,11-May,180,L/-,1,March 11 2004,10 G 9 A 19 P,2022 BUF 1st (16),ostluno01
Owen Power,BUF,25,CA,23,6-Jun,226,L/-,4,November 22 2002,4 G 13 A 17 P,2021 BUF 1st (1),powerow01
Jack Quinn,BUF,22,CA,24,1-Jun,185,R/-,4,September 19 2001,12 G 25 A 37 P,2020 BUF 1st (8),quinnja01
Mattias Samuelsson,BUF,23,US,25,4-Jun,229,L/-,5,March 14 2000,11 G 23 A 34 P,2018 BUF 2nd (32),samuema02
