Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,,,,,,
1,Will Smith,Boston College,F,Fr,41,25,46,71,1.7317,14,130,4,6,1,25,9,260,327,44.3,,,,,,
2,Cutter Gauthier,Boston College,F,So,41,38,27,65,1.5854,18,212,10,13,1,23,13,365,375,49.3,,,,,,
3,Macklin Celebrini,Boston University,F,Fr,38,32,32,64,1.6842,18,179,4,12,0,25,15,317,275,53.5,,,,,,
4,Ryan Leonard,Boston College,F,Fr,41,31,29,60,1.4634,38,168,6,13,1,36,21,7,3,70,,,,,,
,Jackson Blake,North Dakota,F,So,40,22,38,60,1.5,26,129,5,5,0,13,11,0,1,0,,,,,,
,Gabe Perreault,Boston College,F,Fr,36,19,41,60,1.6667,29,91,5,9,0,24,10,18,25,41.9,,,,,,
7,Jack Devine,Denver,F,Jr,44,27,29,56,1.2727,20,142,3,9,0,29,18,8,9,47.1,,,,,,
8,Gavin Brindley,Michigan,F,So,40,25,28,53,1.325,28,122,2,6,1,17,25,98,111,46.9,,,,,,
9,Rutger McGroarty,Michigan,F,So,36,16,36,52,1.4444,6,138,3,6,0,17,18,0,4,0,,,,,,
10,Zeev Buium,Denver,D,Fr,42,11,39,50,1.1905,20,75,1,1,0,33,41,0,0,,,,,,,
11,Dylan Duke,Michigan,F,Jr,41,26,23,49,1.1951,30,137,8,12,2,8,48,20,19,51.3,,,,,,
,Lane Hutson,Boston University,D,So,38,15,34,49,1.2895,24,109,5,7,0,14,53,0,1,0,,,,,,
,Collin Graf,Quinnipiac,F,Jr,34,22,27,49,1.4412,4,123,3,8,0,23,13,0,2,0,,,,,,
14,T.J. Hughes,Michigan,F,So,41,19,29,48,1.1707,27,115,2,8,0,11,16,403,281,58.9,,,,,,
,Luke Grainger,Western Michigan,F,Sr,38,14,34,48,1.2632,21,76,2,2,0,10,16,369,367,50.1,,,,,,
,Lukas Sillinger,Arizona State,F,Sr,38,11,37,48,1.2632,10,90,1,3,0,1,15,12,13,48,,,,,,
17,Liam McLinskey,Holy Cross,F,Jr,39,19,28,47,1.2051,32,113,3,7,0,23,12,4,1,80,,,,,,
18,Jacob Quillan,Quinnipiac,F,Jr,39,17,29,46,1.1795,16,116,3,6,0,16,22,409,323,55.9,,,,,,
,Bradly Nadeau,Maine,F,Fr,37,19,27,46,1.2432,12,109,4,3,1,20,10,24,17,58.5,,,,,,
20,Seamus Casey,Michigan,D,So,40,7,38,45,1.125,14,101,1,5,0,4,47,0,0,,,,,,,
,Josh Nadeau,Maine,F,Fr,37,18,27,45,1.2162,12,110,5,8,0,14,17,2,0,100,,,,,,
22,Dylan Wendt,Western Michigan,F,Jr,38,23,21,44,1.1579,10,88,4,9,0,10,16,0,0,,,,,,,
,Gabriel Seger,Cornell,F,Sr,35,14,30,44,1.2571,16,60,2,4,0,30,22,488,342,58.8,,,,,,
,Massimo Rizzo,Denver,F,Jr,30,10,34,44,1.4667,10,84,2,1,0,24,9,174,223,43.8,,,,,,
25,Sam Colangelo,Western Michigan,F,Gr,38,24,19,43,1.1316,23,159,3,6,0,19,9,0,2,0,,,,,,
,Justin Hryckowian,Northeastern,F,Jr,32,13,30,43,1.3438,8,87,2,5,0,24,35,424,268,61.3,,,,,,
27,Oskar Jellvik,Boston College,F,So,41,13,29,42,1.0244,16,84,1,1,1,28,8,4,1,80,,,,,,
,Alex Campbell,Northeastern,F,Sr,36,22,20,42,1.1667,6,110,2,6,0,13,21,11,17,39.3,,,,,,
29,Frank Nazar III,Michigan,F,So,41,17,24,41,1,18,104,3,4,0,-7,19,393,325,54.7,,,,,,
,Carter Wilkie,RIT,F,Jr,40,16,25,41,1.025,32,136,2,4,3,20,32,566,478,54.2,,,,,,
,Cody Laskosky,RIT,F,Sr,37,14,27,41,1.1081,26,125,0,7,0,16,4,0,2,0,,,,,,
32,Tristan Broz,Denver,F,Jr,43,16,24,40,0.9302,13,88,4,2,0,20,16,128,137,48.3,,,,,,
33,Owen McLaughlin,North Dakota,F,So,39,13,26,39,1,8,79,4,4,0,11,14,194,255,43.2,,,,,,
34,Gianfranco Cassaro,RIT,D,Gr,40,18,20,38,0.95,28,146,5,8,0,21,33,0,0,,,,,,,
,Eamon Powell,Boston College,D,Sr,40,5,33,38,0.95,8,52,1,2,0,19,45,0,0,,,,,,,
,Elijah Gonsalves,RIT,F,Gr,36,20,18,38,1.0556,30,106,3,2,0,18,15,0,0,,,,,,,
37,Cameron Berg,North Dakota,F,Jr,40,20,17,37,0.925,8,116,3,9,0,7,20,394,310,56,,,,,,
,Chris Hedden,Air Force,D,So,38,8,29,37,0.9737,37,148,3,6,1,-15,54,0,0,,,,,,,
,Noah Laba,Colorado College,F,So,36,20,17,37,1.0278,27,88,7,4,3,20,10,362,272,57.1,,,,,,
,Tim Lovell,Arizona State,D,Sr,36,5,32,37,1.0278,48,44,0,2,0,10,25,0,0,,,,,,,
41,Shai Buium,Denver,D,Jr,43,7,29,36,0.8372,14,63,2,3,0,33,46,0,0,,,,,,,
,Ryan Greene,Boston University,F,So,40,12,24,36,0.9,6,76,2,5,0,0,18,276,273,50.3,,,,,,
,Quinn Hutson,Boston University,F,So,40,18,18,36,0.9,35,142,2,6,0,13,10,0,0,,,,,,,
