Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
1,Ethan Wyttenbach,Quinnipiac,F,Fr,34,22,32,54,1.59,14,86,4,6,0,19,10,1,1,50
2,Cruz Lucius,Arizona State,F,Sr,34,15,30,45,1.32,16,131,3,5,0,3,10,1,2,33.3
3,T.J. Hughes,Michigan,F,Sr,32,16,28,44,1.38,20,107,3,5,0,9,23,336,253,57
,Max Plante,Minnesota-Duluth,F,So,32,22,22,44,1.38,17,115,5,8,2,15,9,18,12,60
5,Michael Hage,Michigan,F,So,32,12,31,43,1.34,12,96,1,5,0,12,15,140,158,47
,Gavin McKenna,Penn State,F,Fr,28,13,30,43,1.54,36,123,2,4,0,0,2,4,9,30.8
7,Bennett Schimek,Arizona State,F,Jr,33,12,30,42,1.27,14,92,0,2,1,0,24,7,15,31.8
8,Tyson Gross,St. Cloud State,F,Jr,34,18,23,41,1.21,26,89,3,7,2,-3,11,464,319,59.3
,Stiven Sardarian,Michigan Tech,F,Sr,32,11,30,41,1.28,26,62,2,2,0,13,10,1,2,33.3
,Hayden Stavroff,Dartmouth,F,So,28,26,15,41,1.46,22,93,5,5,0,13,12,10,5,66.7
,Porter Martone,Michigan State,F,Fr,28,20,21,41,1.46,70,92,5,6,0,27,7,8,6,57.1
12,Charlie Stramel,Michigan State,F,Sr,30,19,21,40,1.33,24,91,7,5,0,30,22,392,348,53
13,Zam Plante,Minnesota-Duluth,F,So,32,14,25,39,1.22,2,110,3,8,0,12,23,336,388,46.4
,Jayson Shaugabay,Minnesota-Duluth,F,So,32,10,29,39,1.22,18,62,1,2,0,13,5,3,5,37.5
,Matt DiMarsico,Penn State,F,Jr,30,17,22,39,1.3,14,119,3,7,0,9,4,4,5,44.4
16,James Hagens,Boston College,F,So,28,20,18,38,1.36,22,112,6,5,0,12,16,89,109,44.9
17,Austin Burnevik,St. Cloud State,F,So,34,19,18,37,1.09,6,121,3,7,0,-4,16,1,3,25
,Daniel Russell,Michigan State,F,Sr,30,10,27,37,1.23,28,97,3,4,1,29,15,0,1,0
19,Alex Gaffney,St. Thomas,F,Gr,32,17,19,36,1.13,4,97,2,5,3,9,14,10,11,47.6
20,Antonin Verreault,Quinnipiac,F,Fr,34,13,22,35,1.03,14,79,0,5,0,16,9,5,2,71.4
,Grant Slukynsky,Western Michigan,F,Jr,32,8,27,35,1.09,6,80,1,0,0,17,15,286,253,53.1
,Ryan Bottrill,Clarkson,F,Gr,32,9,26,35,1.09,16,54,1,1,0,5,9,200,221,47.5
,Felix Trudeau,Sacred Heart,F,Sr,31,22,13,35,1.13,75,133,4,11,0,9,10,107,149,41.8
24,Will Horcoff,Michigan,F,So,32,22,12,34,1.06,56,96,7,10,0,11,5,11,11,50
,Lucas Wahlin,St. Thomas,F,Sr,30,19,15,34,1.13,35,110,3,2,2,10,22,230,240,48.9
26,Max Koskipirtti,Michigan Tech,F,Jr,34,12,21,33,0.97,4,62,4,2,0,13,22,340,337,50.2
,Jake Black,Bentley,F,Sr,32,16,17,33,1.03,16,98,4,4,1,16,15,4,17,19
,JJ Wiebusch,Penn State,F,So,30,16,17,33,1.1,59,70,3,7,0,11,5,0,0,
,Dean Letourneau,Boston College,F,So,30,18,15,33,1.1,22,104,0,7,1,14,5,175,186,48.5
,Dylan Hryckowian,Northeastern,F,Jr,25,15,18,33,1.32,32,89,1,1,0,7,14,2,1,66.7
31,Markus Vidicek,Quinnipiac,F,Fr,34,18,14,32,0.94,4,82,3,5,0,14,14,315,240,56.8
,Mason Marcellus,Quinnipiac,F,Jr,33,8,24,32,0.97,39,75,1,0,0,23,11,25,12,67.6
,Lucas Van Vliet,St. Thomas,F,Fr,31,11,21,32,1.03,21,95,3,5,2,2,10,52,80,39.4
,Hank Cleaves,Dartmouth,F,So,28,12,20,32,1.14,33,62,1,3,0,16,10,342,275,55.4
35,Eric Pohlkamp,Denver,D,Jr,33,16,15,31,0.94,29,142,3,4,1,17,57,1,0,100
,Jayden Perron,Michigan,F,Jr,32,13,18,31,0.97,4,79,3,4,0,13,4,0,4,0
,Grant Porter,Canisius,F,Jr,32,11,20,31,0.97,12,81,2,3,0,-1,10,211,267,44.1
,Sam Stitz,Air Force,F,So,32,11,20,31,0.97,20,90,1,4,0,9,22,21,23,47.7
,Brodie Ziemer,Minnesota,F,So,31,20,11,31,1,24,120,0,11,1,-8,17,2,8,20
,Oliver Peer,Bemidji State,F,Jr,30,18,13,31,1.03,30,85,4,5,2,7,12,286,237,54.7
,Chris Pelosi,Quinnipiac,F,So,29,16,15,31,1.07,12,79,3,6,1,11,19,166,157,51.4
,Jack Musa,Massachusetts,F,Jr,28,14,17,31,1.11,8,62,1,2,2,9,23,38,57,40
,Jonathan Castagna,Cornell,F,Jr,27,14,17,31,1.15,27,86,2,2,3,24,29,338,191,63.9
,Ellis Rickwood,North Dakota,F,Sr,27,8,23,31,1.15,17,46,3,1,2,13,5,295,188,61.1
45,Liam Valente,Western Michigan,F,Sr,32,17,13,30,0.94,16,121,3,9,0,13,4,4,2,66.7
,Nick Sajevic,Air Force,F,So,32,8,22,30,0.94,22,72,1,0,0,10,19,316,246,56.2
,Ben Strinden,North Dakota,F,Sr,32,14,16,30,0.94,8,92,2,3,0,13,13,18,29,38.3
,Quinn Emerson,Bowling Green,F,Sr,32,9,21,30,0.94,28,66,1,3,0,10,17,9,22,29
,Chris Hedden,Air Force,D,Sr,32,11,19,30,0.94,12,95,1,3,2,6,51,1,1,50
,Brody Lamb,Minnesota,F,Sr,31,14,16,30,0.97,8,91,2,4,0,-4,33,54,83,39.4
