Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,Season,Pos_Group,PtGm_pct,G_pct,A_pct,Shots_pct,PPG_pct,SHG_pct,+/-_pct,Blk_pct,FO_pct,Elite
Bobby Brink,Denver,F,Jr,41.0,14.0,43.0,57.0,1.3902,44.0,119.0,2.0,5.0,1.0,27.0,17.0,2.0,4.0,33.3,2021-22,F,100.0,93.75655823714585,100.0,97.69150052465896,94.38614900314796,91.97271773347325,99.31794333683106,73.9769150052466,20.410783055198973,True
Nathan Smith,Minnesota State,F,Jr,38.0,19.0,31.0,50.0,1.3158,43.0,101.0,4.0,3.0,0.0,22.0,11.0,329.0,243.0,57.5,2021-22,F,99.58027282266528,98.21615949632738,99.63273871983212,93.96642182581321,82.05666316894019,43.12696747114376,98.63588667366213,49.422875131164744,86.71373555840822,True
Julian Napravnik,Minnesota State,F,Sr,40.0,18.0,31.0,49.0,1.225,10.0,129.0,3.0,6.0,0.0,32.0,10.0,0.0,0.0,,2021-22,F,99.47534102833158,97.74396642182582,99.63273871983212,98.53095487932843,97.2193074501574,43.12696747114376,99.84260230849948,44.700944386149004,,True
Bobby Trivigno,Massachusetts,F,Sr,37.0,20.0,29.0,49.0,1.3243,28.0,126.0,4.0,4.0,1.0,22.0,14.0,2.0,4.0,33.3,2021-22,F,99.68520461699894,98.74081846799581,99.16054564533053,98.21615949632738,89.24449108079749,91.97271773347325,98.63588667366213,62.01469045120671,20.410783055198973,True
Owen Sillinger,Bemidji State,F,Sr,39.0,17.0,30.0,47.0,1.2051,41.0,137.0,3.0,2.0,0.0,10.0,15.0,515.0,425.0,54.8,2021-22,F,99.16054564533053,97.27177334732424,99.3704092339979,99.05561385099685,73.29485834207765,43.12696747114376,90.45120671563484,65.73976915005247,80.29525032092425,True
Cole Guttman,Denver,F,Sr,41.0,19.0,26.0,45.0,1.0976,26.0,141.0,3.0,4.0,2.0,20.0,23.0,579.0,361.0,61.6,2021-22,F,97.69150052465896,98.21615949632738,98.68835257082897,99.16054564533053,89.24449108079749,98.63588667366213,97.8488982161595,89.29695697796433,90.2439024390244,True
Drew Worrad,Western Michigan,F,Sr,39.0,9.0,36.0,45.0,1.1538,20.0,64.0,2.0,2.0,0.0,10.0,27.0,512.0,428.0,54.5,2021-22,F,98.16369359916055,78.85624344176286,99.89506820566632,71.93074501573977,73.29485834207765,43.12696747114376,90.45120671563484,93.96642182581321,79.71758664955071,True
Carter Savoie,Denver,F,So,39.0,23.0,22.0,45.0,1.1538,37.0,152.0,6.0,11.0,0.0,21.0,8.0,5.0,2.0,71.4,2021-22,F,98.16369359916055,99.63273871983212,96.27492130115425,99.73767051416579,99.79013641133263,43.12696747114376,98.21615949632738,34.67995802728227,94.35173299101413,True
Brendan Furry,Minnesota State,F,Jr,44.0,13.0,31.0,44.0,1.0,20.0,92.0,2.0,4.0,1.0,30.0,9.0,355.0,278.0,56.1,2021-22,F,96.06505771248688,92.2875131164743,99.63273871983212,89.97901364113326,89.24449108079749,91.97271773347325,99.63273871983212,39.664218258132216,83.95378690629012,True
Brian Halonen,Michigan Tech,F,Sr,37.0,21.0,23.0,44.0,1.1892,49.0,132.0,3.0,3.0,0.0,21.0,15.0,129.0,106.0,54.9,2021-22,F,98.84575026232949,99.21301154249737,96.90451206715635,98.79328436516265,82.05666316894019,43.12696747114376,98.21615949632738,65.73976915005247,80.55198973042363,True
